State,2022,2022,2021,2021,2020,2020,2019,2019,2018,2018,2017,2017,2017,2017,2016,2016,2015,2015,2014,2014,2013,2013,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2001,2001,2000,2000,1999,1999,1998,1998,1997,1997,1996,1996,1995,1995,1994,1994,1993,1993,1992,1992,1991,1991,1990,1990,1989,1989,1988,1988,1987,1987,1986,1986,1985,1985,1984,1984
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
Alabama,59910,1934,56930,2294,54690,2563,56200,2512,49940,2423,50870,1094,51110,845,47220,2301,44510,3419,42280,1529,47320,5511,41380,2315,43460,2529,42590,2021,40930,2396,39980,904,44480,1659,42210,1420,37950,1014,37150,1215,36630,1303,37260,1580,37600,1062,35160,1006,35420,1072,36250,1189,36270,1307,31940,1607,30300,1258,25990,1266,27200,1559,25080,1088,25810,1058,24350,1068,23360,1037,21280,1070,19950,912,19730,1147,19130,885,18330,760,17310,605
Alaska,89740,4842,81130,3967,74750,3557,78390,6685,68730,3390,77990,3718,72230,2719,75720,4086,75110,3485,67630,3153,72470,5446,61140,3301,63650,2839,57430,3710,57850,2390,61600,1751,63990,2302,62990,1583,56420,1495,55890,1331,55060,2071,51840,981,52770,1073,57360,2012,52850,1159,51400,2226,50690,2124,47990,1258,52780,1907,47950,2008,45370,1494,42930,1643,41800,1156,40610,1822,39300,1627,36010,1378,33100,1183,33230,1497,31360,1017,34780,1089,32360,1473
Arizona,73450,4123,70820,3394,67090,3409,70670,3391,62280,2291,59700,2689,61130,2642,57100,1971,52250,2008,49250,2304,52610,4365,50600,4831,47040,2922,48620,2424,46900,2227,45740,1241,46910,1125,47220,1555,46660,1246,45250,1271,43850,1143,41170,1422,39730,1003,42700,1441,39780,1210,37000,1133,37090,1255,32740,1297,31640,1274,30860,1360,31290,773,30510,1120,29360,1088,30740,897,29220,1141,28550,1210,26440,843,26750,892,25500,718,23880,744,21430,609
Arkansas,53980,2376,50780,1440,50780,1837,54540,2384,49780,2108,49750,2491,48830,2642,45910,2165,42800,1572,44920,2546,39380,2402,39920,2389,39020,2812,41300,1849,38590,2464,36540,909,39590,1194,40800,1348,37060,767,36660,1309,34980,994,32000,776,32390,778,33340,1144,29700,772,29680,1026,27670,1160,26160,1154,27120,978,25810,999,25570,944,23040,847,23880,1398,23440,783,22790,981,21430,915,20170,706,18830,1008,18730,765,17450,764,15670,748
California,85300,1960,81580,1219,77650,1437,78110,1850,70490,1233,70040,1576,69760,1452,66640,1075,63640,1711,60490,894,60790,1811,57530,1223,57020,1238,53370,1378,54280,1182,56130,619,57010,829,55730,618,55320,695,51760,460,49220,660,49300,819,47440,766,47260,727,46820,686,43630,703,40930,577,39690,864,38810,818,37010,723,35330,619,34070,651,34900,629,33660,685,33290,565,33010,618,30290,634,30150,538,29010,570,26980,350,25290,364
Colorado,89930,3790,84950,3155,83780,6019,72500,5221,73030,3562,74980,2661,74170,2982,70570,4125,66600,3682,60940,2414,67910,4129,63370,2800,57260,2708,58630,2553,60230,2481,55930,1595,60940,1898,61140,1014,55700,1524,50450,1287,50890,1590,49940,1158,48290,1464,49400,1190,48240,1237,48180,1483,46600,1086,43230,1944,40950,1329,40710,1552,37830,1446,34490,1569,32480,1471,31500,1245,30730,906,26810,1398,26210,1285,26480,1075,27190,926,28180,850,25800,805
Connecticut,90730,4245,80960,5261,79430,3602,87290,4630,72810,5119,74300,3453,72780,3509,75920,3404,72890,4449,70160,2665,69290,3238,67780,2547,64250,2853,65420,3014,66000,2095,64850,2308,64680,2701,64140,2049,62400,2162,56840,1633,55100,1648,54970,1561,53390,1370,53350,1240,50170,1357,50590,2296,46510,2728,43990,1989,42120,3087,40240,2269,41100,1595,39520,1660,40840,1972,42150,1944,38870,2097,42320,1592,36210,1293,32860,1362,32720,1605,31090,1129,29950,1238
Delaware,80750,4160,68690,2919,70020,5283,74190,3009,65010,3599,64960,5230,62320,3300,58050,2992,57760,3392,57520,2970,54090,4350,52220,2486,48970,1976,54660,1745,55210,2255,52110,1781,50700,1388,54590,2159,52440,1730,51240,1076,48050,1421,49020,1378,49650,1685,49600,1468,50370,1508,46630,2281,41460,1753,43030,2062,39310,1402,34930,1848,35870,1191,36060,849,35680,1393,32590,1111,30800,1113,32070,1133,30510,1167,29240,875,25630,1212,22980,1366,25820,1027
District of Columbia,101700,3114,90640,3756,88220,3511,93110,3884,85750,2659,81280,1903,83380,3319,70980,2734,70070,2861,68280,4402,60060,5529,60680,3082,65250,3671,55250,2109,56930,3333,53140,2088,55590,1763,50780,1097,48480,1679,44990,2167,43450,1864,45040,1418,39070,995,41170,1023,41220,1072,38670,1599,33430,1311,31860,984,31970,1578,30750,1182,30120,1107,27300,1726,30250,1124,29890,1903,27390,1562,26750,1015,26740,748,27460,1285,24320,1252,21080,756,20410,860
Florida,65370,1950,59730,1509,57760,1814,58370,1579,54640,1887,53090,1438,53680,1816,51180,835,48830,1395,46140,950,48530,2815,47890,1573,46070,1110,45110,1138,44070,1544,45630,706,44860,858,45790,570,45680,629,42990,810,40540,632,38970,759,38020,828,36420,417,38860,743,35830,627,34910,767,32460,583,30640,513,29750,612,29290,632,28550,707,27350,526,27250,475,26690,454,26090,475,25410,475,24490,476,22850,540,21340,437,19790,468
Georgia,67730,2981,61500,2266,59270,2063,56630,1782,55820,2032,57990,2288,57020,2434,53530,1679,50770,1401,49560,2009,46990,4236,47440,1959,48120,1504,45970,2483,44120,1822,43340,1256,46230,1164,48640,1078,49340,1210,45930,838,40980,618,42440,979,42940,1107,42580,1073,41900,831,39430,1355,38670,1179,36660,916,32500,1666,34100,897,31470,1238,31660,1254,28800,1228,27210,1088,27560,1186,27540,1021,26570,896,26710,1380,24370,1112,21050,788,19980,815
Hawaii,91010,3712,82200,3790,80830,2427,88010,3565,80110,3482,73600,2352,73580,2227,72130,2510,64510,2840,71220,2676,64240,3918,61410,2207,56260,2255,59050,2531,59540,2731,55650,2023,61520,1481,64020,2125,60470,1571,59590,1212,56240,1690,51830,1332,47300,1371,47440,1256,51550,1193,44500,1832,40830,2369,40930,1399,41770,1893,42850,1292,42260,2423,42660,1759,42110,1435,37250,1630,38920,1414,35040,1328,33020,1482,35020,1074,29000,1206,28960,1446,28880,1216
Idaho,72580,2657,76920,1837,66730,1988,65990,2152,58730,2405,59500,2259,60210,2400,56560,1261,51620,1260,53440,2572,48470,5484,51770,3656,47920,3173,47460,3488,47050,1869,46780,1264,47420,1681,49180,1291,46210,1312,44180,1254,44360,1387,42370,982,37720,1121,38240,966,37610,1192,35800,1413,36680,1090,33400,1339,34710,1341,32680,1116,31540,1278,31010,1323,27700,874,26120,1029,25310,975,24650,953,23450,1004,20760,834,20750,680,20760,598,21090,963
Illinois,78020,2365,79250,1771,74330,2227,74400,2625,70150,2253,65970,1667,64610,1999,61390,1761,60410,1999,54920,1625,53940,3287,57200,1744,51740,1328,50640,1374,50730,1474,52870,941,53250,1325,52510,950,48670,1167,48400,986,46080,823,45150,1072,42710,856,46170,879,46060,966,46330,1028,43180,1234,41280,782,39550,1107,38070,875,35080,799,32860,810,31550,752,31880,714,32540,724,31300,623,29520,754,27080,536,26510,634,24870,523,23750,567
Indiana,70030,2717,70190,2519,66810,4176,66690,3112,59890,1997,58770,1655,58870,2026,56090,2877,51980,1682,48060,1943,49460,4508,50550,3220,46160,1787,44450,2309,46140,2573,44310,1085,46520,1185,47450,1255,45410,1236,42440,1100,42330,1151,42430,959,41050,748,40380,948,40870,679,40840,1719,39730,1589,38890,1183,35150,1298,33390,1444,27860,1032,29480,1361,28530,1315,27090,922,26930,1099,25900,1022,26290,931,22520,944,22730,709,22680,626,22770,710
Iowa,76320,3355,72430,3508,68820,3347,66050,4009,68720,2910,63470,4760,63480,5512,59090,2484,60860,3275,57810,3425,60160,6134,54860,1967,53440,2138,50220,1974,49020,1342,50720,1535,50140,1293,48910,1451,48130,1491,46500,1339,43390,1521,41380,884,41050,1152,40980,1133,40990,811,41100,1130,37020,1202,33780,1282,33210,1527,35520,942,33080,1280,28660,1240,28740,972,28550,1012,27290,986,26270,792,24310,1078,22190,912,22460,750,20930,604,19860,745
Kansas,73040,3440,75980,4213,73080,3632,73150,4329,63940,2027,56900,1937,57870,2898,56810,3268,54870,3731,53440,2863,47820,4496,51490,1498,50000,1812,46150,1950,46050,1816,44720,1788,47880,1410,48500,1805,45550,1252,42030,985,41070,1749,44230,1326,42620,1047,41420,1115,41060,1168,37350,2078,36710,1617,36470,1614,32590,1460,30340,921,28320,1064,29770,1144,30350,1137,29300,934,29920,1179,26860,908,25570,1153,25580,900,23930,782,22790,1033,24630,912
Kentucky,55880,4060,55630,3025,56760,2353,55660,2553,54560,3668,49670,1885,51350,1364,45370,2005,42390,2269,42790,1580,44880,3924,42160,1874,41090,1900,39860,1847,41100,2823,42660,1313,41150,812,39450,1211,39490,1051,36700,898,35610,1218,36940,857,36760,874,38440,1009,36270,848,33740,1484,36250,1511,33450,1659,32410,1439,29810,1149,26600,1028,24380,1091,23490,1259,23760,1046,24780,1213,23280,1206,19910,801,20670,939,19870,1006,17360,748,17680,1079
Louisiana,58330,2024,57210,2879,51190,1602,51710,1412,49970,1754,43570,2088,43900,1453,42200,1197,45920,2140,42410,1862,46430,2543,39620,2857,39090,1611,40660,1929,39300,3248,45430,1813,39560,1486,41310,937,36490,1425,37240,1297,36430,1243,33510,1103,34010,1258,33320,1195,30720,828,32650,1244,31740,1660,33260,1551,30260,1290,27950,1090,25680,1501,26310,1164,25440,1142,25300,1156,22410,1580,22860,1857,20500,1474,21350,858,20890,956,21180,728,18950,880
Maine,75160,3545,71140,3092,63690,3437,66550,5002,58660,5683,53320,3121,51660,2146,50860,3346,50760,1929,51710,2171,54960,3863,50120,1953,49160,2247,49690,1983,47930,1687,47500,1739,47230,1436,47890,1398,45640,1797,43920,1433,41330,1223,37110,945,36850,846,36610,952,37270,853,38860,1319,35640,1049,32770,1301,34700,1211,33860,1088,30320,1537,27440,1203,29620,1026,27870,1253,27460,1572,28220,1389,26400,942,23600,1019,23420,970,20520,803,20650,884
Maryland,108200,5355,97330,4492,94790,4236,95570,3284,86220,3331,82090,3643,81080,3652,73760,2591,73590,2692,76170,4272,69350,2970,65260,4386,71840,1851,68880,2125,64200,2297,64190,1674,63710,1769,65630,1661,63670,1601,60510,1477,57100,1692,52310,1223,56410,1532,53530,1652,54540,1400,52210,2217,50020,2161,46690,1476,43990,2565,41040,1627,39200,1400,39940,1282,37200,1626,36950,1417,38860,1596,36020,1187,36550,1196,34970,1388,30600,1036,30140,966,29710,1151
Massachusetts,93550,3280,86570,4099,87810,6327,87710,2828,86350,2785,76240,2394,73230,3328,72270,2911,67860,2790,63150,2662,62530,5303,62960,3456,63660,3773,63310,3226,60930,2193,59370,1749,60320,1674,58460,2231,55330,2079,56020,1754,52020,1667,50960,953,49860,1153,52250,1518,46750,1357,44010,2023,42350,1961,42020,1383,39490,1932,38570,1475,40500,1060,37060,949,36360,738,35710,790,36250,828,36090,704,33210,839,32240,716,30340,735,28210,810,26960,693
Michigan,68990,2794,64490,3819,64390,3191,64120,1680,60450,1906,56410,2286,57700,2337,57090,1908,54200,2005,52010,1199,56570,1587,48800,2229,50020,1515,48880,1844,46280,1737,45990,1003,49790,1154,49370,798,48650,966,45930,915,42260,858,45020,950,42720,1115,45050,868,45510,1095,46090,1026,41820,917,38740,1108,39230,1143,36430,994,35280,685,32660,682,32270,761,32120,689,29940,663,30780,790,29470,607,27700,724,26610,648,24240,838,22970,635
Minnesota,90390,4307,80440,5050,78750,3393,81430,2988,71820,3656,69980,4649,71920,2991,70220,4045,68730,3063,67240,3207,64320,3992,60910,1843,61800,1339,57820,2380,52320,1606,56090,1237,54930,1427,58060,1888,56210,1218,54220,1244,56100,1070,52820,1228,54620,1196,52680,1134,54250,1703,47040,1527,47930,2115,42560,1510,40990,1225,37930,1848,33640,1360,33680,1212,30980,1297,29480,1146,31470,1028,30190,1278,29090,1041,28080,1113,26440,1150,23860,1022,24440,914
Mississippi,48610,2427,46640,1805,45130,2623,44790,2997,42780,2304,43280,1795,43440,2204,41100,1226,40040,1071,35520,1294,32340,2730,40850,2144,36640,1546,41090,2366,38160,2830,35080,1304,36450,830,37280,951,34730,1583,32880,1292,34760,1132,32730,1113,30880,766,30160,1186,34300,1354,32480,1408,29120,1158,28500,1386,26680,1316,26540,1028,25400,752,22190,1229,20570,1074,19480,1053,20180,802,19920,947,18170,888,18510,901,16510,639,16410,619,15430,732
Missouri,71520,4037,63590,2710,62180,2715,60600,2932,61730,2442,56530,2333,56890,2611,55020,1719,59200,2607,56630,3030,46300,4134,50310,3698,49760,2042,45770,2157,45820,2157,48770,1595,46040,1146,46010,1104,44580,1402,42990,989,42140,1073,43760,875,42780,1074,41340,1204,45100,1187,41380,1191,40200,1868,36550,2060,34270,1513,34830,1373,30190,1442,28680,1466,27360,1451,27930,1415,27330,1394,26500,746,23440,1088,23720,1167,21930,772,21940,608,20780,715
Montana,72980,2878,65000,5000,56740,2497,60200,2294,57680,2876,57410,2223,59090,2589,57080,2880,51400,2937,51100,1778,43200,5946,44130,3252,45090,2565,40280,2036,41280,1847,40440,1002,42900,1764,43660,1699,41110,697,37310,1161,33960,709,34110,1067,34840,1212,32130,737,32780,1001,31040,966,31580,1133,29210,1145,28680,1566,27760,1105,27630,1246,26470,965,26530,728,24830,890,23380,983,23690,1311,22230,829,20470,799,20330,749,20240,800,19540,720
Nebraska,78360,3148,78110,3963,72250,2453,73070,3259,67580,3933,59580,2790,59620,2848,59370,2678,60470,2937,56870,2254,57620,4217,53770,1815,52200,2699,55620,2693,52500,1761,49600,1657,50730,1254,49170,1379,48150,1490,47920,1447,43790,1332,43970,1306,42800,1038,43610,1116,41750,1018,38630,1366,36410,1549,34690,1528,34010,1500,32930,1155,31790,1116,31010,833,30050,1071,29550,1007,27480,1128,26320,1521,25160,960,23270,761,21770,814,21800,914,21400,765
Nevada,72330,3554,64340,3500,61160,2427,70910,3465,61860,2116,58040,2952,56550,3039,55430,2137,52010,2272,49880,1836,51850,3178,45370,2830,47330,2533,47040,2669,51200,1922,51430,1097,54740,2658,54060,1294,52280,1252,48210,1680,47200,1382,45180,1554,44960,1161,45400,1130,45760,1011,41460,1764,39760,1225,38850,1576,38540,1615,36080,1314,35870,1534,35810,1078,31910,796,32940,1564,32020,1179,29340,948,27980,956,26880,1128,26220,895,23270,1005,25780,1018
New Hampshire,84970,5553,88840,4818,88890,3481,86900,2721,81350,3394,75630,3941,74800,3041,76260,2913,75680,3519,73400,3253,69100,3967,71320,3261,67820,2224,65880,1652,66630,1651,64130,1856,66180,3204,67580,1846,61970,1479,56980,2026,56820,1324,55570,1304,55320,1289,51330,719,50930,1243,46060,1952,44960,1866,41000,1604,39410,1734,39170,1556,35250,1837,37960,1620,39440,1922,36030,1339,40810,1313,37530,1371,34630,1129,32340,1450,30550,829,26400,1074,25910,735
New Jersey,92340,3453,88560,4751,85550,4056,87730,4069,74180,2845,71240,4129,73000,2999,68470,2867,68360,3132,65240,2693,63750,4464,61780,3058,66690,1960,62340,3028,62970,2443,64780,1919,65310,2297,60510,1458,68060,1979,63370,2257,55280,1283,56050,1023,54570,1605,51770,933,50410,991,49730,1405,49830,1436,48020,1424,47470,1217,43920,1400,42280,1064,40500,986,39000,841,40050,1033,38730,864,39120,948,36290,658,34240,794,31720,842,30980,643,27780,800
New Mexico,56420,2348,53460,3142,50910,1719,53110,2196,48280,2202,45600,1826,47860,1969,48450,2961,45120,2885,46690,3312,40170,4408,42130,2670,43420,2267,41980,2154,45130,3016,43540,1494,42100,1381,44360,1474,40030,1257,38950,1700,39560,1584,35110,1142,35460,1061,33120,1238,35090,1248,32570,1746,31540,1398,30090,1157,25090,1091,25990,1100,26910,1382,26760,853,25860,1347,26540,1195,25040,1048,22600,1029,19300,833,20760,621,19850,693,20420,1025,20630,1029
New York,75910,2009,72920,2771,68660,2397,71860,1699,67270,1722,61540,1722,62450,2093,61440,1405,58010,2205,54310,1781,49970,2267,53840,1642,47680,1585,50640,1006,49780,1320,50220,599,50460,682,48940,918,48220,989,47180,827,44650,792,42790,872,41970,580,42110,600,40740,581,39990,879,37390,777,35800,634,35410,746,33030,716,31900,477,31700,556,31050,529,31790,538,31590,511,31500,453,28920,668,26380,456,25030,474,23640,523,22030,417
North Carolina,65070,2996,62890,2101,60430,1648,61160,1649,53370,1761,49550,2217,50340,1760,53760,1629,50800,1343,46780,1710,46340,2974,41210,2058,41550,1294,45210,1560,43830,1923,41910,576,42930,846,43510,1072,39800,815,42060,964,40240,812,37280,941,36520,716,38160,951,38320,806,37250,960,35840,1022,35840,917,35600,1008,31980,888,30110,670,28820,653,27770,616,26850,510,26330,556,26410,517,24420,536,22760,542,21860,698,21450,585,20570,641
North Dakota,78720,4371,68880,2731,64120,2341,70030,3170,66510,3095,60170,2102,59890,1676,60180,2290,57420,3233,60730,3138,59150,3451,52890,2863,55770,2123,56360,2960,51010,2311,50080,1738,49630,1188,47210,1280,41050,1405,42190,1221,39220,1251,40410,852,36200,824,35790,804,36000,1065,32660,1383,30300,1179,31660,1361,31470,1184,29090,1217,28280,1115,28120,835,26960,901,25890,932,25260,1003,25230,903,24090,1009,22580,905,21510,785,21210,809,20770,1038
Ohio,67520,2214,62690,2930,60380,1542,64660,3011,61630,2254,60690,1892,59770,1890,53990,1894,53300,1957,49640,1393,50750,2448,46400,1386,44380,1723,44650,1200,45890,1493,45880,626,46930,848,49100,1085,45900,633,44200,1046,43060,977,43520,930,42680,777,41790,661,42960,732,39490,989,38930,1576,36130,894,34070,1063,34940,988,31860,584,31290,658,31400,587,29790,759,30010,720,29020,655,27740,636,25770,555,25120,588,25170,564,23120,492
Oklahoma,63440,3371,60100,3913,52470,1911,59400,2357,54430,2774,51880,3109,55010,3102,50940,1652,47080,1937,47200,2775,46160,3442,43780,4085,48410,2821,48460,2395,43100,2073,45880,1139,46110,931,43220,1453,38840,1597,37650,1449,39610,1122,35900,781,36460,613,35610,690,32430,709,32680,1491,33730,1232,31350,1025,27440,1089,26310,880,26990,1213,26260,1492,25280,1075,25460,1079,24380,1044,23670,1236,23670,756,21690,884,20950,871,21210,764,21150,718
Oregon,86780,3431,81860,3071,76860,3583,74410,5675,69170,3655,62500,2542,64610,2856,59140,2622,60830,2374,58880,2998,49000,2887,56310,2022,51780,2330,51530,1607,50600,1505,49100,1644,51730,1374,50240,1357,47090,1396,44160,1391,40990,1051,41640,965,41800,855,41270,752,42500,936,40620,1252,39070,1927,37250,1788,35490,1274,36370,970,31460,1128,33140,1160,31930,2039,30190,1087,29280,966,28530,1435,27750,1150,25040,1092,24770,1002,21890,1042,21400,745
Pennsylvania,72210,2594,72630,2054,70790,3413,70580,3226,64520,1635,61290,1846,63170,2753,60980,2036,60390,2227,55170,2266,55160,2936,53950,1606,51900,1405,49910,1694,48310,1508,48170,937,51400,589,48440,932,48480,869,46300,745,44110,1039,42930,778,42500,795,43500,723,42180,704,37760,1141,39020,1080,37520,964,34900,974,34520,683,32070,654,31000,694,29880,667,30370,614,29010,688,28690,684,26740,497,25420,541,23810,495,22880,538,20350,499
Rhode Island,80650,4121,74980,4221,80180,3382,70150,4980,62270,3348,65400,4044,66390,4209,61530,2828,55700,3247,58630,4001,56320,3852,57810,2135,56070,2561,49030,2283,51620,1730,51630,1446,53240,2399,54210,1849,53740,1823,49480,1456,47940,1972,44710,1249,42420,875,45720,1147,42200,1018,42720,1980,40690,2657,34800,2235,36990,1036,35360,1373,31930,1321,33510,1547,30430,1433,30840,1091,31970,1175,30120,1354,29840,1584,28290,1440,26540,1060,24630,900,21610,848
South Carolina,61770,2601,62540,2161,60340,1981,62030,1783,57440,2082,54540,2133,54970,2078,54340,3153,46360,2266,44930,2244,43560,2388,43750,2970,44400,2157,40080,1702,41700,1460,41100,1113,42160,1121,44210,1553,39620,1347,40230,1204,38690,1021,38480,1121,37810,1224,37740,1023,37570,937,36460,1728,33270,1310,34260,1609,34670,1405,29070,1400,29850,1139,26050,960,27580,1434,27460,1137,28740,1383,23800,1059,25530,1150,25050,1136,21970,864,20040,862,20310,934
South Dakota,67180,3398,73890,2655,70190,4333,64260,3776,59460,2642,56910,3986,56890,3633,57450,3075,55070,2604,53050,3542,53410,2917,54450,3030,49420,1705,47220,2147,45350,2045,45830,1289,51600,995,46420,900,45430,1641,43150,1369,41110,995,39520,1004,37870,953,39670,856,36480,687,35830,944,32790,1013,29690,1145,29530,1003,29580,1610,29730,1185,27740,1040,26260,669,24640,780,24570,858,24110,999,22290,703,21150,597,19900,664,18140,702,19410,928
Tennessee,65380,2564,62170,2640,54980,1804,56630,2766,56060,1442,55310,2131,55240,2162,51340,1387,47330,1708,43720,2326,43360,3435,42500,2934,43000,2407,42280,2556,38590,1257,40520,988,39700,1211,41200,1116,40690,755,39410,1191,38070,1057,37520,1181,37030,1111,35780,791,34100,930,36520,1310,34090,1307,30640,1358,30790,1087,29020,1268,28640,1028,25100,831,24320,913,24450,915,22590,869,22610,1305,20860,1017,21180,795,18260,884,17780,557,16780,576
Texas,74640,1832,67400,1525,68400,1938,67440,1769,59790,1372,60090,1326,59300,1702,58150,1407,56470,1289,53880,1344,51410,1360,53030,1613,51930,950,49050,1153,47270,1159,47480,743,46490,674,46050,700,43310,828,41420,420,41400,549,39270,762,40150,563,40860,512,38610,785,38690,1020,35780,662,35080,880,33070,763,32040,634,30760,655,28730,613,27950,634,27730,626,28230,716,25890,559,24960,582,24720,637,24160,514,23740,546,23020,533
Utah,95800,4030,87650,4238,83990,2880,84520,3494,77070,2327,69790,2164,71320,2250,67480,2237,66260,2462,63380,3231,61050,1553,62970,4137,58340,2944,55490,1659,56700,1962,58490,1588,62540,1526,53530,1218,54630,1671,54810,1303,50870,927,49280,902,47860,1146,47340,1601,47550,1041,46050,1615,44300,1375,42780,1785,37040,1330,36480,919,35720,1041,35790,1242,34250,1145,28020,1359,30140,1018,30720,1014,26310,909,26530,1194,26280,810,25240,702,23060,735
Vermont,72190,4163,76080,3471,67260,4095,74310,3084,70070,2350,63680,3308,63810,3133,60840,1364,59490,2622,60710,3098,65510,4013,54840,2981,55580,3030,51860,2007,55930,2247,52320,1438,50710,982,47390,1398,51980,1266,50700,1309,47330,1270,43260,977,43000,830,40790,944,39590,921,41580,1407,39370,1591,35050,1727,32360,1250,33820,1242,35800,1906,31070,956,32760,1333,29160,1222,31100,1331,31300,1136,28990,1077,25420,1374,24600,1003,26000,942,22580,983
Virginia,85170,4082,80270,2953,82210,3115,81310,3056,77150,3086,70810,3805,71290,3276,66450,2436,61490,2439,66160,2946,65910,2740,67620,2542,64630,2166,62620,1773,60370,1965,60500,1193,61990,1447,59160,1365,57120,1592,51910,1185,51140,1116,54780,1563,49630,1290,50240,1148,47160,1065,45690,1770,43350,2195,42960,1897,39210,1459,36220,1391,37650,1531,36430,1387,38200,1359,36140,1336,35070,1048,34120,1205,32650,1319,30000,1013,29720,1074,28430,1324,26530,874
Washington,89430,2633,87650,3307,81360,3097,82450,2920,79730,3025,71540,2124,75420,3307,70310,2092,67240,3253,59070,2195,63920,3386,60110,2198,62190,2249,56850,1983,56160,2060,60390,1199,56630,2021,58080,1736,54720,1244,50650,1045,49920,1068,47510,1395,45180,964,42490,1264,42530,1211,45470,2080,47420,1379,44560,1715,36680,1608,35570,1252,33530,1190,35660,1111,33900,1247,33970,1185,32110,1239,31960,1472,32330,1030,27320,1108,26880,950,24000,756,25020,823
West Virginia,52460,2383,46840,2247,51970,2178,53710,2995,50570,1337,46960,1277,45390,1485,44350,1994,42820,3132,39550,2195,43070,3454,40240,2690,43550,2774,41820,1766,42780,2518,40490,913,37990,1404,42090,989,38420,1214,36450,1076,33370,1173,32760,993,29360,699,29670,674,29410,645,29300,1149,26700,780,27490,1315,25250,1301,24880,870,23560,1217,22420,981,20270,892,23150,918,22140,1142,21680,843,19350,930,17210,778,16460,905,15980,828,16840,608
Wisconsin,73330,2567,69940,3133,67410,4826,67360,2323,62630,2039,63480,2908,63450,3673,59820,1845,55430,1487,58080,2154,51730,2629,55260,2338,53080,1709,52060,2067,50350,1435,51240,806,51200,852,51280,1040,51690,1146,44650,1178,45730,1337,46270,978,45900,946,45350,1123,45090,952,45670,1878,41330,1271,39600,1150,40000,1780,40960,1318,35390,1272,31770,1340,33310,1097,31130,1018,30710,897,29120,1240,29580,978,26370,1410,26430,803,23250,1161,20740,821
Wyoming,73090,2300,71050,3919,65450,2206,65130,3773,62540,3892,59540,3184,57840,3134,57830,3122,60930,2024,55690,2019,67440,3988,55700,3168,57510,2820,54510,2277,52200,2181,52470,2131,53340,1577,48740,1363,47040,1503,44720,1508,45400,1146,42560,1000,39760,976,39720,1166,39630,1056,37250,1285,35250,1316,33420,1441,30950,858,31530,1136,33140,1848,29440,1167,30210,1420,29050,1382,29460,991,29520,1289,26420,1095,27590,1458,23560,863,22080,1049,23820,731
